step,epoch,loss_treino,lr,grad_norm,tokens_por_seg,gpu_mem_gb,elapsed_s
3980,10,1.588946,2.358673e-04,0.6836,157607.7,0.615,85.5
4000,10,1.618111,2.352568e-04,0.5234,123283.4,0.615,85.9
4020,10,1.589516,2.346442e-04,0.4375,119373.9,0.615,86.2
4040,10,1.627048,2.340295e-04,0.4277,110529.1,0.615,86.6
4060,10,1.605795,2.334128e-04,0.5078,105347.6,0.615,87.0
4080,10,1.617004,2.327940e-04,0.4844,113971.4,0.615,87.3
4100,10,1.617382,2.321732e-04,0.4805,126323.8,0.615,87.7
4120,10,1.607049,2.315503e-04,0.4668,132779.6,0.615,88.1
4140,10,1.631587,2.309255e-04,0.5898,77676.4,0.615,88.4
4160,10,1.613001,2.302987e-04,0.4688,78942.7,0.615,88.8
4180,10,1.626594,2.296699e-04,0.4395,91800.9,0.615,89.2
4200,10,1.606899,2.290392e-04,0.4922,136848.1,0.615,89.6
4220,10,1.589070,2.284065e-04,0.4688,106575.3,0.615,89.9
4240,10,1.581872,2.277719e-04,0.5000,122923.7,0.615,90.3
4260,10,1.641877,2.271353e-04,1.0078,20594.2,0.615,90.7
4280,11,1.608763,2.264969e-04,0.4766,99798.7,0.615,92.3
4300,11,1.637278,2.258566e-04,0.6680,91874.9,0.615,92.6
4320,11,1.602938,2.252145e-04,0.4258,138956.0,0.615,93.0
4340,11,1.610363,2.245705e-04,0.4629,124181.5,0.615,93.4
4360,11,1.608472,2.239246e-04,0.5195,131256.7,0.615,93.7
4380,11,1.605579,2.232770e-04,0.4863,141320.3,0.615,94.1
4400,11,1.638322,2.226275e-04,0.6133,85146.5,0.615,94.5
4420,11,1.630610,2.219763e-04,0.7148,146237.1,0.615,94.9
4440,11,1.605956,2.213233e-04,0.5625,132967.4,0.615,95.2
4460,11,1.600082,2.206685e-04,0.6406,139574.2,0.615,95.6
4480,11,1.617618,2.200121e-04,0.5000,130171.2,0.615,96.0
4500,11,1.614537,2.193538e-04,0.5039,145208.3,0.615,96.3
4520,11,1.617783,2.186939e-04,0.4512,114825.9,0.615,96.7
4540,11,1.604301,2.180323e-04,0.6641,147482.5,0.615,97.1
4560,11,1.619742,2.173691e-04,0.4727,93902.7,0.615,97.4
4580,11,1.592956,2.167042e-04,0.4199,172217.4,0.615,97.8
4600,11,1.618867,2.160376e-04,0.5195,104381.5,0.615,98.2
4620,11,1.633564,2.153694e-04,0.5508,94290.4,0.615,98.5
4640,11,1.594704,2.146996e-04,0.4883,172149.1,0.615,98.9
4660,11,1.593169,2.140283e-04,0.4805,119302.4,0.615,99.3
4680,11,1.644138,2.133553e-04,0.5820,72084.5,0.615,99.6
4700,12,1.597584,2.126808e-04,0.4375,130564.3,0.615,101.2
4720,12,1.586383,2.120048e-04,0.4609,162056.7,0.615,101.6
4740,12,1.626882,2.113272e-04,0.4512,130481.6,0.615,102.0
4760,12,1.588578,2.106481e-04,0.5430,169704.3,0.615,102.4
4780,12,1.606149,2.099676e-04,0.4863,127896.0,0.615,102.7
4800,12,1.604802,2.092856e-04,0.5234,122518.7,0.615,103.1
4820,12,1.581408,2.086021e-04,0.4941,144009.5,0.615,103.5
4840,12,1.615065,2.079171e-04,0.5117,119171.3,0.615,103.9
4860,12,1.601968,2.072308e-04,0.6250,135054.9,0.615,104.2
4880,12,1.618154,2.065430e-04,0.5000,150262.1,0.615,104.6
4900,12,1.595297,2.058539e-04,0.4238,125214.7,0.615,105.0
4920,12,1.616530,2.051634e-04,0.5508,136038.0,0.615,105.3
4940,12,1.591068,2.044715e-04,0.5156,106999.0,0.615,105.7
4960,12,1.631145,2.037783e-04,0.7266,105254.2,0.615,106.1
4980,12,1.597461,2.030838e-04,0.5508,167381.3,0.615,106.5
5000,12,1.601648,2.023880e-04,0.5430,140338.8,0.615,106.8
5020,12,1.602617,2.016909e-04,0.4941,121364.3,0.615,107.2
5040,12,1.639907,2.009925e-04,0.5430,109664.0,0.615,107.6
5060,12,1.606297,2.002928e-04,0.5273,91132.4,0.615,107.9
5080,12,1.615861,1.995920e-04,0.4395,93956.1,0.615,108.3
5100,12,1.607688,1.988899e-04,0.6016,141610.9,0.615,108.7
5120,13,1.608175,1.981866e-04,0.5469,117568.0,0.615,110.2
5140,13,1.595046,1.974821e-04,0.4707,127367.8,0.615,110.6
5160,13,1.614169,1.967765e-04,0.5625,115175.9,0.615,111.0
5180,13,1.601099,1.960697e-04,0.6445,156648.6,0.615,111.4
5200,13,1.610163,1.953618e-04,0.5039,116550.4,0.615,111.7
5220,13,1.580687,1.946528e-04,0.4668,129159.6,0.615,112.1
5240,13,1.599353,1.939426e-04,0.4512,154310.2,0.615,112.5
5260,13,1.624003,1.932314e-04,0.5508,78773.7,0.615,112.8
5280,13,1.613155,1.925191e-04,0.4258,77724.3,0.615,113.2
5300,13,1.631834,1.918058e-04,0.5781,99255.3,0.615,113.6
5320,13,1.603723,1.910915e-04,0.5312,93899.1,0.615,114.0
5340,13,1.626408,1.903762e-04,0.6172,113955.1,0.615,114.3
5360,13,1.617007,1.896598e-04,0.5156,96187.8,0.615,114.7
5380,13,1.623564,1.889425e-04,0.5352,64656.9,0.615,115.1
5400,13,1.612916,1.882242e-04,0.4961,155379.2,0.615,115.5
5420,13,1.601220,1.875050e-04,0.4512,125656.6,0.615,115.8
5440,13,1.616168,1.867849e-04,0.5586,143318.2,0.615,116.2
5460,13,1.620533,1.860639e-04,0.4609,99103.4,0.615,116.6
5480,13,1.625519,1.853420e-04,0.4297,150628.8,0.615,117.0
5500,13,1.613083,1.846192e-04,0.4629,105824.6,0.615,117.3
5520,13,1.608306,1.838955e-04,0.5703,112539.4,0.615,117.7
5540,14,1.617161,1.831711e-04,0.6289,138747.2,0.615,119.3
5560,14,1.615379,1.824458e-04,0.4590,108564.7,0.615,119.7
5580,14,1.607141,1.817197e-04,0.6523,113023.5,0.615,120.0
5600,14,1.603090,1.809929e-04,0.6445,157946.5,0.615,120.4
5620,14,1.609002,1.802652e-04,0.4824,76271.3,0.615,120.8
5640,14,1.601915,1.795369e-04,0.5156,131625.6,0.615,121.1
5660,14,1.594588,1.788078e-04,0.4922,143216.3,0.615,121.5
5680,14,1.603523,1.780780e-04,0.6211,163284.1,0.615,121.9
5700,14,1.589837,1.773475e-04,0.4727,138278.6,0.615,122.3
5720,14,1.603416,1.766164e-04,0.5352,116359.2,0.615,122.6
5740,14,1.598787,1.758845e-04,0.6523,123311.7,0.615,123.0
5760,14,1.593064,1.751521e-04,0.4395,103866.0,0.615,123.4
5780,14,1.596804,1.744190e-04,0.4277,120936.1,0.615,123.7
5800,14,1.597623,1.736854e-04,0.4629,90666.4,0.615,124.1
5820,14,1.620892,1.729511e-04,0.4512,120452.7,0.615,124.5
5840,14,1.604087,1.722163e-04,0.4941,129140.2,0.615,124.8
5860,14,1.624273,1.714810e-04,0.5820,142007.4,0.615,125.2
5880,14,1.599636,1.707451e-04,0.5508,132921.4,0.615,125.6
5900,14,1.631151,1.700087e-04,0.5508,79887.3,0.615,126.0
5920,14,1.611388,1.692718e-04,0.6055,124506.2,0.615,126.3
5940,14,1.598467,1.685345e-04,0.4629,143008.5,0.615,126.7
5960,14,1.588987,1.677967e-04,0.3711,194659.4,0.615,127.1
5980,15,1.583880,1.670584e-04,0.4961,156488.7,0.615,128.7
6000,15,1.600365,1.663198e-04,0.5195,132793.7,0.615,129.1
6020,15,1.608155,1.655807e-04,0.5742,124625.4,0.615,129.4
6040,15,1.608521,1.648413e-04,0.4785,91301.8,0.615,129.8
6060,15,1.590087,1.641014e-04,0.4316,127874.4,0.615,130.2
6080,15,1.601263,1.633613e-04,0.5781,108874.0,0.615,130.5
6100,15,1.620872,1.626208e-04,0.4727,108895.7,0.615,130.9
6120,15,1.607615,1.618800e-04,0.5273,122576.1,0.615,131.3
6140,15,1.598184,1.611389e-04,0.4102,126910.8,0.615,131.7
6160,15,1.609324,1.603976e-04,0.5195,144034.3,0.615,132.0
6180,15,1.599659,1.596559e-04,0.4902,115215.8,0.615,132.4
6200,15,1.623824,1.589141e-04,0.4688,128942.8,0.615,132.8
6220,15,1.592753,1.581720e-04,0.4707,130150.7,0.617,133.1
6240,15,1.606040,1.574297e-04,0.4844,100599.7,0.617,133.5
6260,15,1.628138,1.566873e-04,0.4492,102454.5,0.617,133.9
6280,15,1.589862,1.559447e-04,0.5391,143894.8,0.617,134.2
6300,15,1.611150,1.552019e-04,0.6406,113418.8,0.617,134.6
6320,15,1.610552,1.544590e-04,0.5625,102496.5,0.617,135.0
6340,15,1.615075,1.537160e-04,0.4668,137968.7,0.617,135.3
6360,15,1.617232,1.529729e-04,0.5430,116642.9,0.617,135.7
6380,15,1.596850,1.522298e-04,0.4336,93576.8,0.617,136.1
6400,16,1.615444,1.514865e-04,0.4043,85819.1,0.617,137.7
